event_index,mrr_real_async,mrr_real_sync,mrr_iid_async,mrr_iid_sync
43,0.39961618847566793,0.4122946645172493,0.4032972680766932,0.4243672532129016
44,0.4014292524199225,0.41217057304290494,0.40469628704715105,0.4254318912735212
45,0.4027797212859101,0.4116785071495277,0.4062255193932189,0.4261255487306193
46,0.38755743142224497,0.4122684471621048,0.40800463222223343,0.4271510965995004
47,0.38103943701383586,0.4122497836449414,0.40856690196369655,0.42662623427514285
48,0.38522964368697965,0.41170999614394327,0.4094431483692316,0.4243582900718522
49,0.38534838830674145,0.41269344534882246,0.40992806419895,0.42425982132739803
50,0.38587970547349837,0.4127998535912008,0.4132898435148919,0.42431461270290477
51,0.3858965784108744,0.4128330013405716,0.4145514956079423,0.42190816731947484
52,0.3829645978088242,0.4131191413370745,0.4152334248498713,0.422115838810808
53,0.38465705007693446,0.41405231661924863,0.41589900889370884,0.4173927442987485
54,0.3869421943551442,0.4143306208391717,0.4160218165929464,0.4173449260309289
55,0.38720586828031833,0.41430460004715985,0.41708180238455417,0.41806378929765686
56,0.38814891806448254,0.4146310252166514,0.41745768171781794,0.41759080726700426
57,0.37346153969370494,0.41495366216612684,0.4175553212223227,0.4177953783323144
58,0.3781278590163141,0.4146747373404465,0.4176528285168961,0.4184466890875253
59,0.3646428647499161,0.415235448903864,0.41793809837401436,0.4191505853216843
60,0.2379145375690908,0.41536807817716753,0.41828808141333285,0.4195823758027579
61,0.2582699764565207,0.41538353107323445,0.4183385141922217,0.41992634284405544
62,0.19634579214308956,0.41517506862896264,0.4194544371122522,0.42018195219888094
63,0.15978015658668943,0.41532037472682437,0.4197136723300136,0.41959872518208724
64,0.17995839345232803,0.4154700600538612,0.4196198995621601,0.4196622425692805
65,0.15528140493336137,0.4153211175764452,0.4195777611829853,0.4206688945327492
66,0.15583139185710151,0.41584576728746714,0.4189399946253621,0.4190430225198984
67,0.1564056500036417,0.41601630283151236,0.41969650062957725,0.4196094492874524
68,0.14697580606306526,0.4165044381141625,0.41978105638144425,0.4199840402068613
69,0.133204312602823,0.4169488218664746,0.4201690539747963,0.4220570509420547
70,0.13387566489940775,0.4167964129583108,0.4203286425199589,0.42205927324440506
71,0.1303822286186469,0.41717458874006563,0.4209453162387695,0.423767393399439
72,0.1351632551766738,0.4170332067239034,0.4212296942433632,0.42448634595428836
73,0.12777451460969783,0.41688912842654907,0.4198264950203757,0.42038966282279666
74,0.12330918619968285,0.4175048201504745,0.41935135020488595,0.42090740294879053
75,0.12411533944087945,0.41756772033812023,0.41872132796226835,0.4197859669207918
76,0.13149248647164322,0.41749456713219296,0.41838737256710135,0.42129378475507767
77,0.14965681408820694,0.4178018174030805,0.41843151014171315,0.4216483533776667
78,0.21737443744852647,0.41777774562749065,0.41822812291829226,0.4206910172308046
79,0.2588457025930995,0.4180867679348012,0.41686289367137946,0.4176717297773804
80,0.33074337076870436,0.41808514038519407,0.4160308682771492,0.4159942089042247
81,0.3286525008669089,0.4182992064079554,0.41566126479499166,0.41632046047184146
82,0.326434917190593,0.41841270739725106,0.4157697000061635,0.4171049333310726
83,0.33161821336833086,0.41824163428335154,0.4161006763120479,0.4178736242826543
84,0.33769880962261056,0.41844839378430876,0.41767907759765444,0.4178053290950861
85,0.36402241775121585,0.41848848315547665,0.4177955046682143,0.41763578552252795
86,0.36839212314818043,0.41840600299445324,0.4179125186847512,0.41793007373463875
87,0.36848874750094973,0.41868706367367703,0.4179523056998046,0.41799900907215026
88,0.3840167533986945,0.41866916071489774,0.41797564554471656,0.4182122297244471
89,0.3846087516535464,0.4186381731585656,0.41785892779237066,0.41768001401957383
90,0.38483919157254265,0.4187859833414714,0.417220778135113,0.4175048480167536
91,0.3865289944719312,0.41849189571672685,0.418222304730642,0.42301466474139043
92,0.38961843025997284,0.41880520600700794,0.4191462468858467,0.42268481693036847
93,0.38956897718380407,0.41879124620167946,0.41974064133117206,0.4228967860786796
94,0.3895739802626793,0.41900817323365175,0.42013931351717393,0.42396818976139716
95,0.3896833056700077,0.41893585547995454,0.42023429423392866,0.4255334314451238
96,0.3798504248363411,0.4188842882121467,0.4202780799114018,0.4264238269218696
97,0.3798496490541287,0.4192726999895764,0.42124161096693835,0.42347023627479785
98,0.38812268361014973,0.41925167758217613,0.4220552727502941,0.4249442600639747
99,0.3891557109842494,0.4187785868331012,0.4242984805125738,0.4240277378345948
100,0.3905759908551177,0.4187487432949817,0.42433800365579066,0.4233752960643689
101,0.39039317280735664,0.4187651523185479,0.42397026441846003,0.42310496730912817
102,0.39076391133446803,0.419011727509989,0.42359425369077536,0.42280954547736943
103,0.3905334089536461,0.41878078718850864,0.4231173056133269,0.42269410472468255
104,0.39194658162901436,0.41892684497133664,0.42359168034201633,0.42323961675537036
105,0.14023688972547158,0.4188928672459379,0.42393063431928085,0.423627541970968
106,0.12414436439018275,0.4188848067849635,0.4239460405016795,0.4234298660275105
107,0.12225829705600003,0.41910059837953106,0.42374312211903986,0.4245420972589186
108,0.12165098127787517,0.41918801884678175,0.4237400414104434,0.4244017833533546
109,0.1211941715422135,0.41937430933459985,0.42452567026228566,0.4253711214025413
110,0.12154391746862683,0.41943451387630354,0.4249758606513453,0.42632087041073785
111,0.12195068096569436,0.41933791872866905,0.42489619372053317,0.4261319572775833
112,0.12178897386004256,0.41919856912403974,0.42488217782277254,0.4263126999042304
113,0.12178909024962523,0.4192427701650273,0.4256597201701636,0.4266441507476243
114,0.12379876128265287,0.4191956397764502,0.426086986479601,0.42647420284240506
115,0.12397839752913432,0.41924858009278404,0.4269984675519941,0.42834849964029786
